t_ms h_imr h_echo
75.200000 -4.173e-13 -2.263e-10
75.300000 -3.969e-13 -2.153e-10
75.400000 1.442e-13 7.822e-11
75.500000 4.439e-13 2.408e-10
75.600000 1.305e-13 7.078e-11
75.700000 -3.250e-13 -1.763e-10
75.800000 -3.091e-13 -1.677e-10
75.900000 1.123e-13 6.092e-11
76.000000 3.457e-13 1.875e-10
76.100000 1.016e-13 5.512e-11
76.200000 -2.531e-13 -1.373e-10
76.300000 -2.407e-13 -1.306e-10
76.400000 8.747e-14 4.744e-11
76.500000 2.692e-13 1.460e-10
76.600000 7.914e-14 4.293e-11
76.700000 -1.971e-13 -1.069e-10
76.800000 -1.875e-13 -1.017e-10
76.900000 6.812e-14 3.695e-11
77.000000 2.097e-13 1.137e-10
77.100000 6.164e-14 3.343e-11
77.200000 -1.535e-13 -8.326e-11
77.300000 -1.460e-13 -7.920e-11
77.400000 5.305e-14 2.878e-11
77.500000 1.633e-13 8.858e-11
77.600000 4.800e-14 2.604e-11
77.700000 -1.195e-13 -6.484e-11
77.800000 -1.137e-13 -6.168e-11
77.900000 4.132e-14 2.241e-11
78.000000 1.272e-13 6.899e-11
78.100000 3.739e-14 2.028e-11
78.200000 -9.310e-14 -5.050e-11
78.300000 -8.856e-14 -4.804e-11
78.400000 3.218e-14 1.745e-11
78.500000 9.905e-14 5.373e-11
78.600000 2.912e-14 1.579e-11
78.700000 -7.251e-14 -3.933e-11
78.800000 -6.897e-14 -3.741e-11
78.900000 2.506e-14 1.359e-11
79.000000 7.714e-14 4.184e-11
79.100000 2.268e-14 1.230e-11
79.200000 -5.647e-14 -3.063e-11
79.300000 -5.372e-14 -2.914e-11
79.400000 1.952e-14 1.059e-11
79.500000 6.008e-14 3.259e-11
79.600000 1.766e-14 9.579e-12
79.700000 -4.398e-14 -2.385e-11
79.800000 -4.183e-14 -2.269e-11
79.900000 1.520e-14 8.244e-12
80.000000 4.679e-14 2.538e-11
80.100000 1.375e-14 7.460e-12
80.200000 -3.425e-14 -1.858e-11
80.300000 -3.258e-14 -1.767e-11
80.400000 1.184e-14 6.421e-12
80.500000 3.644e-14 1.976e-11
80.600000 1.071e-14 5.810e-12
80.700000 -2.667e-14 -1.447e-11
80.800000 -2.537e-14 -1.376e-11
80.900000 9.219e-15 5.001e-12
81.000000 2.838e-14 1.539e-11
81.100000 8.342e-15 4.525e-12
81.200000 -2.077e-14 -1.127e-11
81.300000 -1.976e-14 -1.072e-11
81.400000 7.180e-15 3.894e-12
81.500000 2.210e-14 1.199e-11
81.600000 6.497e-15 3.524e-12
81.700000 -1.618e-14 -8.776e-12
81.800000 -1.539e-14 -8.348e-12
81.900000 5.592e-15 3.033e-12
82.000000 1.721e-14 9.336e-12
82.100000 5.060e-15 2.744e-12
82.200000 -1.260e-14 -6.834e-12
